station_id,station_name,address,city,state,latitude,longitude,price
7,WOODSHED OF BIG CABIN,"I-44, EXIT 283 & US-69",Big Cabin,OK,36.607931,-95.274736,3.00733333
9,KWIK TRIP #796,"I-94, EXIT 143 & US-12 & SR-21",Tomah,WI,43.994833,-90.491704,3.28733333
20,PILOT TRAVEL CENTER #1243,"I-8, EXIT 119 & SR-85",Gila Bend,AZ,32.93059,-112.746832,3.899
20,PILOT #1243,"I-8, EXIT 119 & SR-85",Gila Bend,AZ,32.93059,-112.746832,3.899
28,LITTLEFIELD EXPRESS #2,"I-540, EXIT 12 & US-71",Fort Smith,AR,35.365272,-94.411035,3.399
35,ACI TRUCK STOP,US-46,Columbia,NJ,40.938805,-75.054983,3.079
36,SHENANDOAH TRUCK CENTER,"I-81, EXIT 273 & SR-703/SR-292",Mount Jackson,VA,38.768819,-78.676655,2.899
44,CIRCLE K #2612042,"I-35,  EXIT 271",Jarrell,TX,30.748406,-97.600833,2.919
46,PETRO STOPPING CENTER #348,"I-85,  EXIT 22 & CR-138",Shorter,AL,32.383585,-85.91616,3.154
49,TA SEYMOUR TRAVEL CENTER,"I-65, EXIT 50 & US-50 & US-31",Seymour,IN,38.957133,-85.882477,3.959
50,TA COUNCIL BLUFFS TRAVEL CENTER,"I-29 & I-80, EXIT 3",Council Bluffs,IA,41.252954,-95.880992,3.72566666
56,TOPS TRUCK STOP,"I-94, EXIT 182 & US-83",Sterling,ND,46.843583,-100.274392,3.51566666
75,Good 2 Go #709,US-50,Montrose,CO,38.46783,-107.875182,3.424
77,OASIS TRAVEL PLAZA,US-13,Laurel,DE,38.553695,-75.563052,3.229
79,DELAWARE TRUCK PLAZA,US-13 & US-40,New Castle                              ,DE,39.67703,-75.589938,3.249
81,One9 #89,"I-75, EXIT 224",Ellenton,FL,27.53818,-82.5006,3.439
85,DOWNIEVILLE FUEL STOP,"I-70, EXIT 234",Dumont,CO,39.764722,-105.599722,3.459
91,MOLLYS FOOD & FUEL,"I-20 & ST 22, EXIT 55",Crawfordville                           ,GA,33.570801,-82.887234,3.499
105,TA SAGINAW I 75 TRAVEL CENTER,"I-75, EXIT 144-B",Bridgeport,MI,43.355309,-83.854906,3.269
105,TA SAGINAW I 75 TRAVEL CENTER,"I-75, EXIT 144-B",Bridgeport,MI,43.355309,-83.854906,3.339
105,TA SAGINAW I 75 TRAVEL CENTER,"I-75, EXIT 144-B",Bridgeport,MI,43.355309,-83.854906,3.429
105,TA SAGINAW I 75 TRAVEL CENTER,"I-75, EXIT 144-B",Bridgeport,MI,43.355309,-83.854906,3.289
105,TA SAGINAW I 75 TRAVEL CENTER,"I-75, EXIT 144-B",Bridgeport,MI,43.355309,-83.854906,3.399
105,TA SAGINAW I 75 TRAVEL CENTER,"I-75, EXIT 144-B",Bridgeport,MI,43.355309,-83.854906,3.299
118,Lupton Truck Stop #567,"I-40, EXIT 359",Lupton,AZ,35.4086,-109.07,3.299
121,PETRO STOPPING CENTER #306,"I-10, EXIT 200",Eloy,AZ,32.750929,-111.583275,3.474
127,CIRCLE K #4700095,US-41,Henderson,KY,37.836111,-87.59,3.609
128,THE EFFINGHAM CHROME SHOP,"I-57 & I-70, EXIT 159",Effingham                               ,IL,39.121727,-88.561105,3.399
128,THE EFFINGHAM CHROME SHOP,"I-57 & I-70, EXIT 159",Effingham                               ,IL,39.121727,-88.561105,3.349
128,THE EFFINGHAM CHROME SHOP,"I-57 & I-70, EXIT 159",Effingham                               ,IL,39.121727,-88.561105,3.549
135,LOVES TRAVEL STOP #766,"I-80, EXIT 27",Atkinson,IL,41.41619,-90.022482,3.589
135,LOVES TRAVEL STOP #766,"I-80, EXIT 27",Atkinson,IL,41.41619,-90.022482,3.389
135,LOVES TRAVEL STOP #766,"I-80, EXIT 27",Atkinson,IL,41.41619,-90.022482,3.449
